MODELS_EMITTER_CONSTRUCTOR_DEBUG: Parsed schemas count: 1959
  SchemaKeyInConstructor: FoundationModelListResponseData, Name: FoundationModelListResponseData, Type: array
  SchemaKeyInConstructor: FoundationModelListResponse, Name: FoundationModelListResponse, Type: object
  SchemaKeyInConstructor: MessageId, Name: MessageId, Type: string
  SchemaKeyInConstructor: MessageChatId, Name: MessageChatId, Type: string
  SchemaKeyInConstructor: MessageRole, Name: MessageRole, Type: string
  SchemaKeyInConstructor: MessageMessage, Name: MessageMessage, Type: string
  SchemaKeyInConstructor: MessageUserId, Name: MessageUserId, Type: string
  SchemaKeyInConstructor: MessageCreatedAt, Name: MessageCreatedAt, Type: object
  SchemaKeyInConstructor: MessageUpdatedAt, Name: MessageUpdatedAt, Type: object
  SchemaKeyInConstructor: MessageTokens, Name: MessageTokens, Type: object
  SchemaKeyInConstructor: Message, Name: Message, Type: object
  SchemaKeyInConstructor: MessageResponse, Name: MessageResponse, Type: object
  SchemaKeyInConstructor: MessageListResponseData, Name: MessageListResponseData, Type: array
  SchemaKeyInConstructor: MessageListResponse, Name: MessageListResponse, Type: object
  SchemaKeyInConstructor: VectorDatabaseType, Name: VectorDatabaseType, Type: string
  SchemaKeyInConstructor: VectorDatabaseId, Name: VectorDatabaseId, Type: string
  SchemaKeyInConstructor: VectorDatabaseName, Name: VectorDatabaseName, Type: string
  SchemaKeyInConstructor: VectorDatabaseDescription, Name: VectorDatabaseDescription, Type: string
  SchemaKeyInConstructor: VectorDatabaseConfig, Name: VectorDatabaseConfig, Type: object
  SchemaKeyInConstructor: VectorDatabaseTenantId, Name: VectorDatabaseTenantId, Type: string
  SchemaKeyInConstructor: VectorDatabaseCreatedAt, Name: VectorDatabaseCreatedAt, Type: object
  SchemaKeyInConstructor: VectorDatabaseUpdatedAt, Name: VectorDatabaseUpdatedAt, Type: object
  SchemaKeyInConstructor: VectorDatabase, Name: VectorDatabase, Type: object
  SchemaKeyInConstructor: VectorDatabaseResponse, Name: VectorDatabaseResponse, Type: object
  SchemaKeyInConstructor: VectorDatabaseListResponseData, Name: VectorDatabaseListResponseData, Type: array
  SchemaKeyInConstructor: VectorDatabaseListResponse, Name: VectorDatabaseListResponse, Type: object
  SchemaKeyInConstructor: VectorIndexMetric, Name: VectorIndexMetric, Type: string
  SchemaKeyInConstructor: VectorIndexId, Name: VectorIndexId, Type: string
  SchemaKeyInConstructor: VectorIndexName, Name: VectorIndexName, Type: string
  SchemaKeyInConstructor: VectorIndexDescription, Name: VectorIndexDescription, Type: string
  SchemaKeyInConstructor: VectorIndexDimension, Name: VectorIndexDimension, Type: number
  SchemaKeyInConstructor: VectorIndexConfig, Name: VectorIndexConfig, Type: object
  SchemaKeyInConstructor: VectorIndexVectorDatabaseId, Name: VectorIndexVectorDatabaseId, Type: string
  SchemaKeyInConstructor: VectorIndexEmbedModelId, Name: VectorIndexEmbedModelId, Type: string
  SchemaKeyInConstructor: VectorIndexCreatedAt, Name: VectorIndexCreatedAt, Type: object
  SchemaKeyInConstructor: VectorIndexUpdatedAt, Name: VectorIndexUpdatedAt, Type: object
  SchemaKeyInConstructor: VectorIndex, Name: VectorIndex, Type: object
  SchemaKeyInConstructor: VectorIndexResponse, Name: VectorIndexResponse, Type: object
  SchemaKeyInConstructor: VectorIndexListResponseData, Name: VectorIndexListResponseData, Type: array
  SchemaKeyInConstructor: VectorIndexListResponse, Name: VectorIndexListResponse, Type: object
  SchemaKeyInConstructor: JobResponse, Name: JobResponse, Type: object
  SchemaKeyInConstructor: JobListResponseData, Name: JobListResponseData, Type: array
  SchemaKeyInConstructor: JobListResponse, Name: JobListResponse, Type: object
  SchemaKeyInConstructor: JobExecutionStatus, Name: JobExecutionStatus, Type: string
  SchemaKeyInConstructor: JobExecutionId, Name: JobExecutionId, Type: string
  SchemaKeyInConstructor: JobExecutionJobId, Name: JobExecutionJobId, Type: string
  SchemaKeyInConstructor: JobExecutionAttemptNumber, Name: JobExecutionAttemptNumber, Type: number
  SchemaKeyInConstructor: JobExecutionStartedAt, Name: JobExecutionStartedAt, Type: object
  SchemaKeyInConstructor: JobExecutionCompletedAt, Name: JobExecutionCompletedAt, Type: object
  SchemaKeyInConstructor: JobExecutionDuration, Name: JobExecutionDuration, Type: number
  SchemaKeyInConstructor: JobExecutionError, Name: JobExecutionError, Type: string
  SchemaKeyInConstructor: JobExecutionLogs, Name: JobExecutionLogs, Type: string
  SchemaKeyInConstructor: JobExecutionCreatedAt, Name: JobExecutionCreatedAt, Type: object
  SchemaKeyInConstructor: JobExecutionUpdatedAt, Name: JobExecutionUpdatedAt, Type: object
  SchemaKeyInConstructor: JobExecution, Name: JobExecution, Type: object
  SchemaKeyInConstructor: JobExecutionResponse, Name: JobExecutionResponse, Type: object
  SchemaKeyInConstructor: JobExecutionListResponseData, Name: JobExecutionListResponseData, Type: array
  SchemaKeyInConstructor: JobExecutionListResponse, Name: JobExecutionListResponse, Type: object
  SchemaKeyInConstructor: FeedbackRating, Name: FeedbackRating, Type: string
  SchemaKeyInConstructor: FeedbackId, Name: FeedbackId, Type: string
  SchemaKeyInConstructor: FeedbackMessageId, Name: FeedbackMessageId, Type: string
  SchemaKeyInConstructor: FeedbackContent, Name: FeedbackContent, Type: string
  SchemaKeyInConstructor: FeedbackCreatedAt, Name: FeedbackCreatedAt, Type: object
  SchemaKeyInConstructor: FeedbackUpdatedAt, Name: FeedbackUpdatedAt, Type: object
  SchemaKeyInConstructor: Feedback, Name: Feedback, Type: object
